"sr-only","_stackIconOrSpinner_70ihm_58 src","_projectRowCell_70ihm_20 href","_twoLineEllipsis_70ihm_95","_twoLineEllipsis_70ihm_95 2","_projectRowCell_70ihm_20 2","_projectRowCell_70ihm_20 3","_projectRowCell_70ihm_20 4","sr-only 2"
"Select ModelX AGI Framework v1.4 Technical Specification 1 (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-p7wzg3yk","ModelX AGI Framework v1.4 Technical Specification 1 (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","9","0","18 days ago","Open actions for ModelX AGI Framework v1.4 Technical Specification 1 (forked)"
"Select Supply Chain Network Visualization with anime.js (v2)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-hetj8igj","Supply Chain Network Visualization with anime.js (v2)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","2","1","18 days ago","Open actions for Supply Chain Network Visualization with anime.js (v2)"
"Select Solid Robot ESM v2","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-c5nexthg-gzyxp4c7","Solid Robot ESM v2","Run Solid Robot created by Drzo on StackBlitz","1","0","about 2 months ago","Open actions for Solid Robot ESM v2"
"Select Noi-v1","","https://stackblitz.com/edit/github-tq6j381y-j3gjkbvu","Noi-v1","🚀 Power Your World with AI - Explore, Extend, Empower.","1","0","about 2 months ago","Open actions for Noi-v1"
"Select echoi-v2","","https://stackblitz.com/edit/github-jbawk2ej-3fsj6rty","echoi-v2","","1","0","2 months ago","Open actions for echoi-v2"
"Select Shopify Enterprise Admin Dashboard (v5)","https://c.staticblitz.com/assets/frameworks/remix-a7e8aafe42cee590df4d89239ae4d8975998dfafd3db606802466ebb42da1676.svg","https://stackblitz.com/edit/sb1-2up45y7h","Shopify Enterprise Admin Dashboard (v5)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","2 months ago","Open actions for Shopify Enterprise Admin Dashboard (v5)"
"Select echoi-v1","","https://stackblitz.com/edit/github-jbawk2ej-myf24swy","echoi-v1","","1","0","2 months ago","Open actions for echoi-v1"
"Select Chemistry Formulation Assistant v1","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-ubzajliz","Chemistry Formulation Assistant v1","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","2 months ago","Open actions for Chemistry Formulation Assistant v1"
"Select Archon - The AI Agent Builder v2g","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-ub6fbdde","Archon - The AI Agent Builder v2g","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","2 months ago","Open actions for Archon - The AI Agent Builder v2g"
"Select gneural_network-0.9.1","","https://stackblitz.com/edit/node-dq9g2t8h","gneural_network-0.9.1","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","2","0","2 months ago","Open actions for gneural_network-0.9.1"
